
=== attempt 1/600, success 0/200, seed=3000 ===
bimanual task: left tray push + right block place
tray start: [-0.04515761  0.14809546  0.018     ]
tray goal: [0.09473986 0.14809546 0.018     ]
block start: [-0.02140322 -0.13022647  0.025     ]
left approach waypoint: [-0.20315761  0.14809546  0.143     ]
left contact waypoint: [-0.20315761  0.14809546  0.043     ]
phase=tray_approach | L err=0.248 xy=0.167 z=0.183 | tray goal=0.140 | R err=0.299 grip=0.008 | block xy=0.249 z=0.301 | lift=0.000 speed=0.020 | tray_xy=0.279
phase=tray_contact | L err=0.076 xy=0.039 z=0.065 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_contact | L err=0.054 xy=0.027 z=0.046 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase transition: tray_contact -> tray_push
phase=tray_push | L err=0.140 xy=0.136 z=0.033 | tray goal=0.126 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.282
phase=tray_push | L err=0.121 xy=0.116 z=0.033 | tray goal=0.107 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.287
phase=tray_push | L err=0.086 xy=0.080 z=0.032 | tray goal=0.073 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.300
phase transition: tray_push -> tray_retreat
phase=tray_retreat | L err=0.071 xy=0.017 z=0.069 | tray goal=0.054 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=tray_retreat | L err=0.082 xy=0.014 z=0.081 | tray goal=0.054 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=tray_retreat | L err=0.085 xy=0.023 z=0.081 | tray goal=0.054 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=tray_retreat | L err=0.079 xy=0.029 z=0.074 | tray goal=0.054 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=tray_retreat | L err=0.067 xy=0.028 z=0.060 | tray goal=0.054 | R err=0.292 grip=0.008 | block xy=0.249 z=0.287 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase transition: tray_retreat -> right_above
phase=right_above | L err=0.055 xy=0.027 z=0.047 | tray goal=0.054 | R err=0.270 grip=0.008 | block xy=0.232 z=0.273 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.051 xy=0.027 z=0.044 | tray goal=0.054 | R err=0.244 grip=0.008 | block xy=0.212 z=0.257 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.051 xy=0.027 z=0.043 | tray goal=0.054 | R err=0.221 grip=0.008 | block xy=0.194 z=0.242 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.051 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.207 grip=0.008 | block xy=0.184 z=0.231 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.051 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.189 grip=0.008 | block xy=0.171 z=0.217 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.172 grip=0.008 | block xy=0.159 z=0.202 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.153 grip=0.008 | block xy=0.146 z=0.184 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.144 grip=0.008 | block xy=0.139 z=0.174 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.028 z=0.043 | tray goal=0.054 | R err=0.128 grip=0.008 | block xy=0.127 z=0.153 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.113 grip=0.008 | block xy=0.112 z=0.123 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.110 grip=0.008 | block xy=0.100 z=0.089 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.115 grip=0.008 | block xy=0.094 z=0.071 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.117 grip=0.008 | block xy=0.089 z=0.060 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.113 grip=0.008 | block xy=0.082 z=0.058 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.107 grip=0.008 | block xy=0.074 z=0.060 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.099 grip=0.008 | block xy=0.067 z=0.063 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.089 grip=0.008 | block xy=0.058 z=0.068 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.075 grip=0.008 | block xy=0.045 z=0.075 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=right_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.066 grip=0.008 | block xy=0.036 z=0.081 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase transition: right_above -> open_above
phase=open_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.063 grip=0.024 | block xy=0.033 z=0.083 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=open_above | L err=0.052 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.061 grip=0.035 | block xy=0.031 z=0.083 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=open_above | L err=0.051 xy=0.029 z=0.043 | tray goal=0.054 | R err=0.061 grip=0.037 | block xy=0.030 z=0.083 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase transition: open_above -> descend
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.046 grip=0.037 | block xy=0.025 z=0.045 | lift=-0.001 speed=0.012 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.028 grip=0.037 | block xy=0.026 z=0.015 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.028 grip=0.037 | block xy=0.028 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.028 grip=0.037 | block xy=0.028 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.028 grip=0.037 | block xy=0.028 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.028 grip=0.037 | block xy=0.028 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.027 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.027 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.027 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.027 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.051 xy=0.029 z=0.042 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.027 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.027 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.026 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.026 grip=0.037 | block xy=0.025 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.037 | block xy=0.025 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase=descend | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.037 | block xy=0.025 z=0.003 | lift=-0.001 speed=0.000 | tray_xy=0.312
phase transition: descend -> close
phase=close | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.004 | tray_xy=0.315
phase=close | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.315
phase=close | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.315
phase=close | L err=0.050 xy=0.029 z=0.041 | tray goal=0.054 | R err=0.025 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.315
phase=close | L err=0.050 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.315
phase=close | L err=0.050 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.315
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.316
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.033 | block xy=0.025 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.316
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.033 | block xy=0.026 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.316
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.316
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.316
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.317
phase=close | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.024 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.001 speed=0.002 | tray_xy=0.317
phase transition: close -> lift
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.166 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.000 speed=0.066 | tray_xy=0.314
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.167 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.000 speed=0.074 | tray_xy=0.310
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.168 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.000 speed=0.051 | tray_xy=0.306
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.170 grip=0.032 | block xy=0.026 z=0.002 | lift=-0.000 speed=0.052 | tray_xy=0.304
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.171 grip=0.032 | block xy=0.025 z=0.002 | lift=-0.000 speed=0.042 | tray_xy=0.302
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.171 grip=0.032 | block xy=0.025 z=0.003 | lift=-0.000 speed=0.030 | tray_xy=0.300
phase=lift | L err=0.049 xy=0.029 z=0.040 | tray goal=0.054 | R err=0.171 grip=0.032 | block xy=0.025 z=0.003 | lift=0.001 speed=0.024 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.169 grip=0.032 | block xy=0.025 z=0.003 | lift=0.004 speed=0.030 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.166 grip=0.032 | block xy=0.026 z=0.002 | lift=0.007 speed=0.037 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.162 grip=0.032 | block xy=0.026 z=0.002 | lift=0.011 speed=0.039 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.158 grip=0.032 | block xy=0.026 z=0.002 | lift=0.015 speed=0.041 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.154 grip=0.032 | block xy=0.026 z=0.002 | lift=0.019 speed=0.042 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.150 grip=0.032 | block xy=0.026 z=0.002 | lift=0.023 speed=0.044 | tray_xy=0.299
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.146 grip=0.032 | block xy=0.026 z=0.002 | lift=0.028 speed=0.045 | tray_xy=0.300
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.142 grip=0.031 | block xy=0.026 z=0.001 | lift=0.032 speed=0.047 | tray_xy=0.300
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.138 grip=0.031 | block xy=0.026 z=0.001 | lift=0.037 speed=0.050 | tray_xy=0.300
phase=lift | L err=0.049 xy=0.028 z=0.040 | tray goal=0.054 | R err=0.133 grip=0.032 | block xy=0.026 z=0.001 | lift=0.042 speed=0.056 | tray_xy=0.301
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.127 grip=0.031 | block xy=0.026 z=0.001 | lift=0.048 speed=0.062 | tray_xy=0.301
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.121 grip=0.031 | block xy=0.026 z=0.000 | lift=0.054 speed=0.066 | tray_xy=0.302
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.115 grip=0.031 | block xy=0.026 z=-0.000 | lift=0.060 speed=0.068 | tray_xy=0.303
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.108 grip=0.031 | block xy=0.026 z=-0.000 | lift=0.067 speed=0.070 | tray_xy=0.304
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.102 grip=0.031 | block xy=0.026 z=-0.001 | lift=0.074 speed=0.071 | tray_xy=0.304
phase=lift | L err=0.049 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.095 grip=0.031 | block xy=0.026 z=-0.001 | lift=0.080 speed=0.052 | tray_xy=0.305
phase transition: lift -> place_above
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.295 grip=0.031 | block xy=0.026 z=0.000 | lift=0.068 speed=0.336 | tray_xy=0.292
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.284 grip=0.031 | block xy=0.026 z=0.002 | lift=0.047 speed=0.351 | tray_xy=0.271
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.277 grip=0.031 | block xy=0.026 z=0.004 | lift=0.029 speed=0.327 | tray_xy=0.253
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.272 grip=0.031 | block xy=0.026 z=0.006 | lift=0.016 speed=0.217 | tray_xy=0.238
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.265 grip=0.031 | block xy=0.026 z=0.006 | lift=0.012 speed=0.140 | tray_xy=0.226
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.255 grip=0.031 | block xy=0.026 z=0.006 | lift=0.013 speed=0.125 | tray_xy=0.215
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.244 grip=0.031 | block xy=0.026 z=0.006 | lift=0.019 speed=0.132 | tray_xy=0.203
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.231 grip=0.031 | block xy=0.026 z=0.006 | lift=0.026 speed=0.144 | tray_xy=0.191
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.216 grip=0.031 | block xy=0.026 z=0.005 | lift=0.035 speed=0.169 | tray_xy=0.179
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.200 grip=0.031 | block xy=0.027 z=0.004 | lift=0.047 speed=0.190 | tray_xy=0.166
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.182 grip=0.031 | block xy=0.027 z=0.003 | lift=0.060 speed=0.203 | tray_xy=0.153
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.165 grip=0.031 | block xy=0.027 z=0.003 | lift=0.072 speed=0.170 | tray_xy=0.139
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.150 grip=0.031 | block xy=0.027 z=0.002 | lift=0.079 speed=0.158 | tray_xy=0.126
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.135 grip=0.031 | block xy=0.027 z=0.001 | lift=0.086 speed=0.154 | tray_xy=0.112
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.121 grip=0.031 | block xy=0.027 z=0.001 | lift=0.092 speed=0.146 | tray_xy=0.099
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.108 grip=0.031 | block xy=0.028 z=0.001 | lift=0.095 speed=0.139 | tray_xy=0.085
phase=place_above | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.097 grip=0.031 | block xy=0.028 z=0.000 | lift=0.097 speed=0.137 | tray_xy=0.072
phase transition: place_above -> place_down
phase=place_down | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.074 grip=0.031 | block xy=0.028 z=0.001 | lift=0.086 speed=0.258 | tray_xy=0.058
phase=place_down | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.057 grip=0.031 | block xy=0.028 z=0.002 | lift=0.061 speed=0.296 | tray_xy=0.045
phase transition: place_down -> release
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.052 grip=0.035 | block xy=0.029 z=0.010 | lift=0.030 speed=0.305 | tray_xy=0.030
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.048 grip=0.036 | block xy=0.032 z=0.011 | lift=0.023 speed=0.042 | tray_xy=0.024
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.047 grip=0.037 | block xy=0.029 z=0.008 | lift=0.022 speed=0.042 | tray_xy=0.020
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.047 grip=0.037 | block xy=0.027 z=0.006 | lift=0.020 speed=0.034 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.023 z=0.005 | lift=0.017 speed=0.096 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.052 grip=0.037 | block xy=0.022 z=0.004 | lift=0.015 speed=0.003 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.022 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.022 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.022 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.018
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.051 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.039 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase=release | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.050 grip=0.037 | block xy=0.021 z=0.004 | lift=0.015 speed=0.001 | tray_xy=0.017
phase transition: release -> retreat
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.135 grip=0.037 | block xy=0.022 z=0.005 | lift=0.016 speed=0.043 | tray_xy=0.016
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.132 grip=0.037 | block xy=0.024 z=0.007 | lift=0.018 speed=0.043 | tray_xy=0.015
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.126 grip=0.037 | block xy=0.024 z=0.010 | lift=0.021 speed=0.051 | tray_xy=0.014
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.120 grip=0.037 | block xy=0.024 z=0.013 | lift=0.026 speed=0.052 | tray_xy=0.013
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.110 grip=0.037 | block xy=0.024 z=0.014 | lift=0.035 speed=0.071 | tray_xy=0.013
phase=retreat | L err=0.048 xy=0.028 z=0.038 | tray goal=0.054 | R err=0.100 grip=0.037 | block xy=0.024 z=0.013 | lift=0.046 speed=0.083 | tray_xy=0.013
